	(1)
	(0.06)
2.devcat#2.agecat#2.poor	-0.13**
	(0.06)
2o.devcat#2o.agecat#3o.poor	0.00
	(0.00)
3o.devcat#0b.agecat#1b.poor	0.00
	(0.00)
3.devcat#0b.agecat#2.poor	0.21*
	(0.13)
3.devcat#0b.agecat#3.poor	0.35**
	(0.17)
3.devcat#1.agecat#1b.poor	0.06
	(0.08)
3.devcat#1.agecat#2.poor	0.05
	(0.10)
3o.devcat#1o.agecat#3o.poor	0.00
	(0.00)
3.devcat#2.agecat#1b.poor	-0.30***
	(0.10)
3.devcat#2.agecat#2.poor	-0.26**
	(0.12)
3o.devcat#2o.agecat#3o.poor	0.00
	(0.00)
4o.devcat#0b.agecat#1b.poor	0.00
	(0.00)
4.devcat#0b.agecat#2.poor	0.25*
	(0.13)
4.devcat#0b.agecat#3.poor	0.78***
	(0.17)
4.devcat#1.agecat#1b.poor	-0.36***
	(0.10)
4.devcat#1.agecat#2.poor	-0.11
	(0.10)
4o.devcat#1o.agecat#3o.poor	0.00
	(0.00)
4.devcat#2.agecat#1b.poor	-0.37
	(0.28)
4.devcat#2.agecat#2.poor	-0.34
	(0.28)
4o.devcat#2o.agecat#3o.poor	0.00
	(0.00)
1b.devcat#0b.agecat#0b.urban	0.00
	(0.00)
1b.devcat#0b.agecat#1.urban	-0.02
	(0.06)
1b.devcat#1o.agecat#0b.urban	0.00
	(0.00)
1b.devcat#1.agecat#1.urban	0.05
	(0.05)
1b.devcat#2o.agecat#0b.urban	0.00
	(0.00)
1b.devcat#2.agecat#1.urban	-0.19
	(0.13)
2o.devcat#0b.agecat#0b.urban	0.00
	(0.00)
2.devcat#0b.agecat#1.urban	0.04
	(0.04)
2.devcat#1.agecat#0b.urban	0.07***
	(0.03)
2o.devcat#1o.agecat#1o.urban	0.00
	(0.00)
2.devcat#2.agecat#0b.urban	0.23***
	(0.04)
2o.devcat#2o.agecat#1o.urban	0.00
	(0.00)
3o.devcat#0b.agecat#0b.urban	0.00
	(0.00)
3.devcat#0b.agecat#1.urban	0.10
	(0.08)
3.devcat#1.agecat#0b.urban	-0.10**
	(0.04)
3o.devcat#1o.agecat#1o.urban	0.00
	(0.00)
3.devcat#2.agecat#0b.urban	0.07*
	(0.04)
3o.devcat#2o.agecat#1o.urban	0.00
	(0.00)
4o.devcat#0b.agecat#0b.urban	0.00
	(0.00)
4.devcat#0b.agecat#1.urban	0.12
	(0.11)
4.devcat#1.agecat#0b.urban	-0.06
	(0.07)
4o.devcat#1o.agecat#1o.urban	0.00
	(0.00)
4.devcat#2.agecat#0b.urban	-0.10
	(0.23)
4o.devcat#2o.agecat#1o.urban	0.00
	(0.00)
1b.devcat#0b.agecat#0b.pref_accept	0.00
	(0.00)
1b.devcat#0b.agecat#1.pref_accept	0.17*
	(0.09)
1b.devcat#1o.agecat#0b.pref_accept	0.00
	(0.00)
1b.devcat#1.agecat#1.pref_accept	0.06
