	(1)
VARIABLES	lfpr
	
1b.smartcat#1o.agecat#1o.pref_work#1o.islam	0.00
	(0.00)
1b.smartcat#2o.agecat#0b.pref_work#0b.islam	0.00
	(0.00)
1b.smartcat#2.agecat#0b.pref_work#1.islam	-0.08
	(0.17)
1b.smartcat#2.agecat#1.pref_work#0b.islam	0.30**
	(0.15)
1b.smartcat#2o.agecat#1o.pref_work#1o.islam	0.00
	(0.00)
2.smartcat#0b.agecat#0b.pref_work#0b.islam	0.45**
	(0.21)
2o.smartcat#0b.agecat#0b.pref_work#1o.islam	0.00
	(0.00)
2.smartcat#0b.agecat#1.pref_work#0b.islam	0.24***
	(0.08)
2o.smartcat#0b.agecat#1o.pref_work#1o.islam	0.00
	(0.00)
2.smartcat#1.agecat#0b.pref_work#0b.islam	0.32***
	(0.10)
2o.smartcat#1o.agecat#0b.pref_work#1o.islam	0.00
	(0.00)
2.smartcat#1.agecat#1.pref_work#0b.islam	0.11*
	(0.06)
2o.smartcat#1o.agecat#1o.pref_work#1o.islam	0.00
	(0.00)
2.smartcat#2.agecat#0b.pref_work#0b.islam	0.27
	(0.16)
2o.smartcat#2o.agecat#0b.pref_work#1o.islam	0.00
	(0.00)
2.smartcat#2.agecat#1.pref_work#0b.islam	0.06
	(0.10)
2o.smartcat#2o.agecat#1o.pref_work#1o.islam	0.00
	(0.00)
3.smartcat#0b.agecat#0b.pref_work#0b.islam	0.46***
	(0.17)
3o.smartcat#0b.agecat#0b.pref_work#1o.islam	0.00
	(0.00)
3.smartcat#0b.agecat#1.pref_work#0b.islam	0.33***
	(0.09)
3o.smartcat#0b.agecat#1o.pref_work#1o.islam	0.00
	(0.00)
3.smartcat#1.agecat#0b.pref_work#0b.islam	0.11
	(0.10)
3o.smartcat#1o.agecat#0b.pref_work#1o.islam	0.00
	(0.00)
3.smartcat#1.agecat#1.pref_work#0b.islam	0.20***
	(0.07)
3o.smartcat#1o.agecat#1o.pref_work#1o.islam	0.00
	(0.00)
3.smartcat#2.agecat#0b.pref_work#0b.islam	0.19
	(0.15)
3o.smartcat#2o.agecat#0b.pref_work#1o.islam	0.00
	(0.00)
3.smartcat#2.agecat#1.pref_work#0b.islam	0.48***
	(0.12)
3o.smartcat#2o.agecat#1o.pref_work#1o.islam	0.00
	(0.00)
